# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Fri Jan 03 16:57:09 AEDT 2020 [seed=1578031026503]
# BMtest_sigma1_1corr0_0D1.24N9.xml
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	exponential.popSize	exponential.growthRate	clock.rate	meanRate	LOCATIONS.precision.col11	LOCATIONS.precision.col12	LOCATIONS.precision.col21	LOCATIONS.precision.col22	correlation	LOCATIONS.varCovar.LOCATIONS.precision.col11	LOCATIONS.varCovar.LOCATIONS.precision.col12	LOCATIONS.varCovar.LOCATIONS.precision.col21	LOCATIONS.varCovar.LOCATIONS.precision.col22	LOCATIONS.diffusionRate	LOCATIONS.lambda	treeLikelihood	branchRates	LOCATIONS.traitLikelihood	coalescent
0	-56720.3360037596	-27.717750319457497	-56692.618253440145	2.6268399826175735	2.6268399826175735	9.545814541203189	1.0	0.0	1.0	1.0	0.05	0.002	0.002	0.05	-0.04	20.03205128205128	-0.8012820512820512	-0.8012820512820512	20.03205128205128	1.2308643079684825	0.5	-56616.58962002229	0.0	-76.02863341785472	-14.240278639443606
1000	-22791.767961176523	7.6365971298526	-22799.404558306374	2.5518539978889816	2.5518539978889816	4.154067116963533	1.0966006977637852	1.559400504192631	0.36066397448632964	0.36066397448632953	0.11700925025226805	-0.06817717552658172	-0.06817717552658172	0.1059710489264292	0.6122591585460682	13.671098182831255	8.795391476205005	8.795391476205005	15.095112907760203	2.042761263549942	0.6917803267331013	-22725.806411371876	0.0	-73.59814693449891	15.320167688737167
2000	-18944.985028103772	2.5090879486638378	-18947.494116052436	2.542004447900236	2.542004447900236	5.642553939014064	0.6828987055832023	0.7153444159684383	0.1119165111579486	0.11191651115794855	0.06499506689603521	-0.029874577099135095	-0.029874577099135095	0.08927408650286192	0.39219211788815145	18.182521365030134	6.084577929104323	6.084577929104323	13.237594902982714	1.047402679246122	0.3248649846792573	-18876.317671992514	0.0	-71.17644405992205	7.448604318142201
3000	-17136.739238963437	-39.23227747194039	-17097.506961491497	2.5419123487410147	2.5419123487410147	11.239493214982186	0.5409061513641357	-0.08930438185487488	0.0435935037442824	0.0435935037442824	0.0554017005742915	-0.04033854653833372	-0.04033854653833372	0.113830888768939	0.5079589708157607	24.32686027985259	8.620772411979491	8.620772411979493	11.839927138518293	1.039063912666599	0.3754611334910625	-17027.03297936758	0.0	-70.47398212391579	-35.961141401496825
4000	-15431.88986101585	-42.53076185548401	-15389.359099160367	2.9028203466540967	2.9028203466540967	18.199412147924164	4.571846688443966	0.6132764601834235	0.014205191482754663	0.014205191482754663	0.09189938380112223	-0.08087063576237273	-0.08087063576237273	0.14362635035881055	0.7039105837872084	21.568389430227832	12.144354857137582	12.144354857137582	13.800543516344982	0.6173852475598754	0.08841038778830038	-15317.45130267956	0.0	-71.90779648080752	-38.45085266020388
5000	-15335.154080853386	-43.32129026557725	-15291.832790587809	3.4963004808655196	3.4963004808655196	22.386429037487485	17.75239849554803	0.8107602156825999	0.0113455899812511	0.011345589981251101	0.054456586926493154	-0.03566746031446198	-0.03566746031446198	0.07284490414024439	0.5663010794214235	27.03248639769803	13.236068427447494	13.236068427447492	20.20864688793244	0.5863636897393674	0.35774827840835144	-15220.42997164162	0.0	-71.40281894618846	-40.686641916294164
6000	-15331.591838321034	-46.10414386749393	-15285.487694453539	3.5522586669969023	3.5522586669969023	24.34225713823075	26.976314325703214	0.8544613068029956	0.009877848597399647	0.009877848597399645	0.07405469031543824	-0.030283036316022707	-0.030283036316022707	0.06824416405341845	0.42598114165274115	16.497095450566885	7.320510809501012	7.320510809501012	17.901710888269864	0.666296001387168	0.582072689667624	-15214.521874411035	0.0	-70.96582004250374	-43.29352709465337
7000	-15327.07429067511	-44.27522864039327	-15282.799062034715	3.5111057696759516	3.5111057696759516	24.344859864887017	37.3058437174779	1.1405334917016705	0.010012079674784272	0.010012079674784272	0.07588459835802182	-0.06310098324818329	-0.06310098324818329	0.12229810295111844	0.6550122864560323	23.080303194140182	11.90852343636547	11.90852343636547	14.321068729649323	0.8299287822052356	0.686700203234977	-15211.358395978124	0.0	-71.44066605659157	-40.790681903428094
8000	-15331.566856829622	-43.098920245886355	-15288.467936583736	3.5822013284439427	3.5822013284439427	24.21013682199976	42.52719137118613	1.4162143872582156	0.010662889652071364	0.010662889652071364	0.11565075649029041	-0.08325557385060457	-0.08325557385060457	0.1403108976282164	0.6535719097651571	15.09438198897856	8.956477762279816	8.956477762279816	12.441490470714019	0.5549451471484261	0.34761652193734505	-15216.005849453604	0.0	-72.46208713013299	-38.980565168165796
9000	-15329.307761036429	-42.60688280858709	-15286.700878227843	3.6556669036174596	3.6556669036174596	24.125867794307904	47.50998999215228	1.3610260943445582	0.01037136408691039	0.01037136408691039	0.041944637251460325	-0.007313642020798719	-0.007313642020798719	0.05903729352638818	0.14697120601667224	24.36729666659264	3.0186628517176763	3.0186628517176763	17.31240303253576	0.6183780068024409	0.34799036453181076	-15213.574265831057	0.0	-73.12661239678539	-39.26423378384877
10000	-15329.297518070167	-43.07358341208156	-15286.223934658085	3.6398795761702463	3.6398795761702463	24.0023998384571	86.3474367347542	1.6304395215378507	0.010530505115376261	0.010530505115376268	0.0407807127538931	-0.011441078037356833	-0.011441078037356833	0.09771477043342681	0.18124224533367264	25.35425133971167	2.9686399187114922	2.968639918711492	10.581454946765003	0.6341672345217564	0.5372550735551945	-15213.714555492079	0.0	-72.50937916600516	-38.90099659618387
11000	-15332.613230241217	-44.63692244727159	-15287.976307793946	3.8438721130899327	3.8438721130899327	25.552091933783522	36.736076580721495	1.1750376848055368	0.00918463691024637	0.009184636910246369	0.061473382612390326	-0.017740760823253213	-0.017740760823253213	0.05818455594158328	0.29663666048285015	17.836714626714645	5.438503103518849	5.4385031035188485	18.8449179520577	0.8649642000020374	0.8596532022712995	-15216.537566484034	0.0	-71.43874130991139	-40.90336451399789
12000	-15339.224101441665	-46.271775152224755	-15292.95232628944	3.777204356337664	3.777204356337664	25.731376521347748	30.026921755639894	1.1240780993335584	0.009659500892027833	0.009659500892027833	0.08885407419954888	0.008111428386701189	0.008111428386701189	0.06832638312513731	-0.10410328866800068	11.37771387450846	-1.3507155958837596	-1.3507155958837596	14.795986361158349	0.9843807980997729	0.9330125947025449	-15218.63439142451	0.0	-74.31793486492919	-41.639071151033
13000	-15325.779280209623	-41.215973532173	-15284.56330667745	3.306955137711083	3.306955137711083	22.942373857447976	35.749912386049964	1.3871141723332916	0.01063409698479891	0.01063409698479891	0.06054106404919236	-0.0295889546796111	-0.0295889546796111	0.06667331684848891	0.4657239447900375	21.09269422303708	9.360727843412874	9.360727843412874	19.15270174466892	0.8516726836224151	0.5776014978038579	-15213.518479172506	0.0	-71.0448275049434	-37.85993359875607
14000	-15326.013864771598	-43.23214103770908	-15282.781723733888	3.4669657797697466	3.4669657797697466	23.145501359580848	41.895748308236435	1.3067951621584062	0.010773432964738034	0.010773432964738032	0.0747650267307218	-0.03684386525914609	-0.03684386525914609	0.10742586372388746	0.41111328569703726	16.095625914071448	5.5203193335628935	5.520319333562893	11.20205004640481	0.8645933303717054	0.8632670017527679	-15211.711156614349	0.0	-71.07056711953885	-38.76022012412653
15000	-15332.788412075779	-42.55575466723459	-15290.232657408544	3.482469493977722	3.482469493977722	23.029398822807927	58.69131483369298	1.8023901495547705	0.011033815161691884	0.011033815161691886	0.10860173883598936	-0.024718964909444686	-0.024718964909444686	0.0729944663848332	0.27763033845937257	9.976966345006623	3.3786161225527103	3.3786161225527103	14.843808675351829	0.6767014487891021	0.5118746638684487	-15216.25408162358	0.0	-73.97857578496374	-38.105351968701825
16000	-15335.66991691965	-42.85309560050212	-15292.81682131915	3.3250160370852613	3.3250160370852613	22.534818680781086	203.84749084260886	2.1752971088261375	0.011116093781233386	0.011116093781233388	0.04927141852238355	-0.024641053862257366	-0.024641053862257366	0.08782596117291436	0.374584919844639	23.60831603701737	6.623711022302445	6.623711022302445	13.244548702158918	0.6877436401271189	0.3760862880108437	-15221.572354921464	0.0	-71.24446639768513	-36.86485882448348
